Child Level,Event Name,CPU Start (ns),GPU Start (ns),GPU Duration (ns),Process Name,Thread ID,CPU Core,GPU Engine,
0,"GPU Work",0,1530062300,33400,final_project2.exe,,,Cuda,
0,"GPU Work",0,1530101700,33200,final_project2.exe,,,Cuda,
0,"GPU Work",0,1530141000,32900,final_project2.exe,,,Cuda,
0,"GPU Work",0,1530179900,32200,final_project2.exe,,,Cuda,
0,"GPU Work",0,1530221200,32000,final_project2.exe,,,Cuda,
0,"GPU Work",0,1530263000,33600,final_project2.exe,,,Cuda,
0,"GPU Work",0,1530303300,31500,final_project2.exe,,,Cuda,
0,"GPU Work",0,1530341200,33400,final_project2.exe,,,Cuda,
0,"GPU Work",0,1530380700,32600,final_project2.exe,,,Cuda,
0,"GPU Work",0,1530420800,29600,final_project2.exe,,,Cuda,
0,"GPU Work",0,1530459700,48600,final_project2.exe,,,Cuda,
0,"GPU Work",0,1530514500,31400,final_project2.exe,,,Cuda,
0,"GPU Work",0,1530556000,34000,final_project2.exe,,,Cuda,
0,"GPU Work",0,1530596200,33000,final_project2.exe,,,Cuda,
0,"GPU Work",0,1530637700,34900,final_project2.exe,,,Cuda,
0,"GPU Work",0,1530677800,32800,final_project2.exe,,,Cuda,
0,"GPU Work",0,1530721400,35100,final_project2.exe,,,Cuda,
0,"GPU Work",0,1530760000,30900,final_project2.exe,,,Cuda,
0,"GPU Work",0,1530800800,30000,final_project2.exe,,,Cuda,
0,"GPU Work",0,1530841100,28700,final_project2.exe,,,Cuda,
0,"GPU Work",0,1530883600,28300,final_project2.exe,,,Cuda,
0,"GPU Work",0,1530924900,32400,final_project2.exe,,,Cuda,
0,"GPU Work",0,1530966500,37600,final_project2.exe,,,Cuda,
0,"GPU Work",0,1531015800,33600,final_project2.exe,,,Cuda,
0,"GPU Work",0,1531057600,33300,final_project2.exe,,,Cuda,
0,"GPU Work",0,1531097200,31000,final_project2.exe,,,Cuda,
0,"GPU Work",0,1531137700,35700,final_project2.exe,,,Cuda,
0,"GPU Work",0,1531179000,30500,final_project2.exe,,,Cuda,
0,"GPU Work",0,1531220800,30500,final_project2.exe,,,Cuda,
0,"GPU Work",0,1531261800,35400,final_project2.exe,,,Cuda,
0,"GPU Work",0,1531303500,31400,final_project2.exe,,,Cuda,
0,"GPU Work",0,1531345000,35100,final_project2.exe,,,Cuda,
0,"GPU Work",0,1531383600,42700,final_project2.exe,,,Cuda,
0,"GPU Work",0,1531434200,35000,final_project2.exe,,,Cuda,
0,"GPU Work",0,1531473300,32500,final_project2.exe,,,Cuda,
0,"GPU Work",0,1531514900,37700,final_project2.exe,,,Cuda,
0,"GPU Work",0,1531555800,35300,final_project2.exe,,,Cuda,
0,"GPU Work",0,1531596700,28600,final_project2.exe,,,Cuda,
0,"GPU Work",0,1531638800,32400,final_project2.exe,,,Cuda,
0,"GPU Work",0,1531681700,33900,final_project2.exe,,,Cuda,
0,"GPU Work",0,1531721700,33600,final_project2.exe,,,Cuda,
0,"GPU Work",0,1531761500,32100,final_project2.exe,,,Cuda,
0,"GPU Work",0,1531802500,30400,final_project2.exe,,,Cuda,
0,"GPU Work",0,1531842400,33200,final_project2.exe,,,Cuda,
0,"GPU Work",0,1531884000,31800,final_project2.exe,,,Cuda,
0,"GPU Work",0,1531925000,33400,final_project2.exe,,,Cuda,
0,"GPU Work",0,1531966100,32000,final_project2.exe,,,Cuda,
0,"GPU Work",0,1532019800,33600,final_project2.exe,,,Cuda,
0,"GPU Work",0,1532060500,31600,final_project2.exe,,,Cuda,
0,"GPU Work",0,1532102400,28800,final_project2.exe,,,Cuda,
0,"GPU Work",0,1532145600,32900,final_project2.exe,,,Cuda,
0,"GPU Work",0,1532193900,28200,final_project2.exe,,,Cuda,
0,"GPU Work",0,1532240300,32200,final_project2.exe,,,Cuda,
0,"GPU Work",0,1532290300,40000,final_project2.exe,,,Cuda,
0,"GPU Work",0,1532338900,33600,final_project2.exe,,,Cuda,
0,"GPU Work",0,1532384700,34300,final_project2.exe,,,Cuda,
0,"GPU Work",0,1532428600,33300,final_project2.exe,,,Cuda,
0,"GPU Work",0,1532495200,61600,final_project2.exe,,,Cuda,
0,"GPU Work",0,1532563400,58600,final_project2.exe,,,Cuda,
0,"GPU Work",0,1532650700,42000,final_project2.exe,,,Cuda,
0,"GPU Work",0,1532704300,38100,final_project2.exe,,,Cuda,
0,"GPU Work",0,1532752100,35800,final_project2.exe,,,Cuda,
